"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"TiempoC",0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
"",0.2,0.193542535117736,0.192143711726742,0.198686711828828,0.208395090945817,0.214498091643807,0.215471836851782,0.222647496089569,0.223484403964835,0.22979109518729,0.223060030946547,0.228424777937806,0.231247779491647,0.234957689769764,0.247327528142635,0.248569223795638,0.259495175766744,0.261514947052021,0.257298525553332,0.260521946874112,0.260506631509234,0.264114620981574,0.269939340277625,0.266305367603256,0.267292857745131,0.269397887579011,0.27172759686093,0.26264331242826,0.263244177137408,0.253639061846417,0.244785465564018,0.246124958499935,0.251215759631389,0.246142219992705,0.253758118772187,0.254567617602387,0.261723757089254,0.267699125705662,0.274446993191745,0.277660331060828,0.28267322674617,0.285910385828761,0.278677027249624,0.27966146963315,0.281272521957521,0.292289763341335,0.281608849597028,0.284874891888214,0.28542490071804,0.285638093158483,0.274013868969749,0.272273449242307,0.271581861735821,0.278909538306949,0.279599834253121,0.271720225864139,0.270991757941338,0.268296329392513,0.274986298263396,0.277717311138129,0.268400573348272,0.264832774750365,0.268287724229468,0.268270098732167,0.277669915699616,0.266413970350854,0.267211980411258,0.266614139653162,0.268810876649294,0.266353229296465,0.265694732300672,0.286572507207158,0.285941519973479,0.283834934741967,0.287049216691685,0.289209163995054,0.284674663615229,0.28492006858084,0.281744569275135,0.277457372408934,0.276640258146141,0.280488001684235,0.281819238776396,0.276589684171969,0.269830539745505,0.266270300703859,0.269694033940376,0.268165174664202,0.275717124716425,0.278782347589577,0.286102025612204,0.288204215502223,0.293890339826812,0.300809896867873,0.307141507199431,0.314194900356271,0.315550891836086,0.312595001770937,0.308634455302522,0.301062724862213,0.3
"",0.2,0.213598766674152,0.215917334827429,0.220785637252915,0.224791280575837,0.231255505266746,0.239325806186775,0.235360964488144,0.24380816685712,0.241852449010123,0.234651506761652,0.234991615358609,0.243244812845297,0.238578827379724,0.242870101535675,0.235414368105354,0.230620234147398,0.232432304229845,0.232674080088947,0.234951585735703,0.238863695897587,0.236315574768931,0.237375166760222,0.237367276921628,0.241729435286245,0.233977152884448,0.245350852489312,0.251050694446483,0.25245086828857,0.25513232097409,0.262095894625273,0.265010354500687,0.27004631593239,0.265345080837301,0.263618909418885,0.262658619999487,0.258910313803825,0.258876770408992,0.249749855929,0.240919089594436,0.245839467018202,0.248340209299599,0.257271939141531,0.253818996900311,0.258922557474776,0.266662035768882,0.274993998531302,0.271608412189637,0.284477583224991,0.290175630320832,0.291732503981452,0.289813777895241,0.292237414839761,0.294595915067979,0.285394915395997,0.296551714127426,0.303378483530788,0.298603187512302,0.295172669857828,0.296800191624429,0.283015438071336,0.280634811694683,0.276379487065781,0.283922510387819,0.289037336391721,0.297662258840856,0.292406466175847,0.296955409716915,0.301421453266858,0.308477126191699,0.311068470560084,0.302529269527639,0.305443516649299,0.302801061481914,0.311797039806718,0.313184773918562,0.317355378319693,0.313049734426939,0.307963883144928,0.319978002509717,0.319512428054832,0.330231108843499,0.329253708597225,0.32624482141033,0.3170200517635,0.327415780493219,0.332281646497488,0.328293949979078,0.32642267495678,0.324859052718034,0.307307159390393,0.306640437192066,0.309828977133929,0.315542987935868,0.317631864649248,0.314757511719673,0.29628025894006,0.29155948515627,0.294064932376974,0.298465982239837,0.3
"",0.2,0.200026866726227,0.210137196603136,0.224900431096389,0.228430024349192,0.240307679823844,0.242106904354034,0.250640654849585,0.241763205775659,0.240653463981327,0.240354538577915,0.246327864806905,0.247588735525323,0.244712844199205,0.251208422412079,0.256146989515468,0.263798016448473,0.266025217844651,0.266903502126455,0.275366611543579,0.271558719580418,0.275831071196851,0.267052968757029,0.260279833441652,0.253242550515491,0.243735159108568,0.246814041151715,0.248665005513931,0.247093564580164,0.251966062561908,0.243505998410113,0.239482435462888,0.24137515975228,0.231581384857764,0.226147579000761,0.223874853549008,0.227951316490582,0.225006801475593,0.216176061870671,0.211578876192003,0.206539807910315,0.206291528816639,0.206152008983444,0.207787949971682,0.217944144947505,0.211796536222266,0.225315614114488,0.222744124097563,0.223730503294284,0.228081047576573,0.231617670220374,0.219256338723185,0.229579639932338,0.241415206909766,0.248984979663973,0.243554458876541,0.247010859966865,0.252285050505577,0.255992063343575,0.263788190935195,0.265866962575921,0.269734429003518,0.277939000939095,0.261843423577478,0.255510716306779,0.265888640199859,0.26481399726091,0.249585992654044,0.263332997261318,0.270762488352134,0.264194067487548,0.257211418983742,0.257305611473541,0.247975291591556,0.249358886050024,0.254994329858795,0.265629376971462,0.27399434349174,0.2757232510165,0.274610666108544,0.267303903663332,0.271314729762766,0.265503628133002,0.259298423761347,0.262883251570759,0.267984606605909,0.269350163703304,0.28357819288397,0.287372997228698,0.301342479089464,0.305439991133487,0.311040249502076,0.310161554898326,0.308001063772019,0.308129770527547,0.306034608564524,0.297461408356211,0.300611107842007,0.297680150113312,0.302738882452364,0.3
"",0.2,0.20500318067698,0.209513685735252,0.199599832382535,0.206407011421417,0.208742874807121,0.218951763564021,0.222487041735461,0.223291518243781,0.220288378264314,0.219340250495676,0.230671871961184,0.232837413976268,0.240441219122539,0.241729539501847,0.251866258666016,0.247215735717401,0.247380625157628,0.267349435460746,0.264319584234544,0.261193954954308,0.267771241767438,0.260073625074033,0.266019176992112,0.265067149118493,0.266235956279303,0.271218339315519,0.279441046644706,0.281695439273692,0.285340391507072,0.28628740469432,0.290613112138658,0.290108305285867,0.295732740355264,0.2867102568032,0.289460248884429,0.277676298156645,0.270600395332389,0.29103995847141,0.285404010000888,0.282296168619663,0.282508438765436,0.283519988429404,0.28493086336422,0.284211346781302,0.291615723533142,0.290125649042399,0.293565605088001,0.301447826909045,0.305549492873536,0.302041252992268,0.290406369977364,0.295378496812905,0.297651695448603,0.307224796905603,0.306680617818301,0.302887797644412,0.28998471509723,0.294861977977644,0.293227630017557,0.284967715938363,0.28868943856445,0.292147667994694,0.29324368133415,0.278759003614505,0.285976149974913,0.278923758389059,0.277564388299824,0.275360184451355,0.284074512377064,0.283186267118857,0.282329782431212,0.281210395493696,0.280033033277032,0.288765385886646,0.283740627544387,0.29324148770713,0.297617891799174,0.297772409780761,0.286650528065196,0.289286645918027,0.290660997498089,0.296338215077713,0.296599579077687,0.309534657449313,0.316720303241176,0.324890651936896,0.327305070432832,0.331270534295573,0.335438928280988,0.343149408814587,0.337628025166854,0.336789714512798,0.33470901508205,0.32933355829166,0.325889885211663,0.328157676371242,0.327037494348166,0.317340300334253,0.306133065847812,0.3
"",0.2,0.194955376341627,0.196126015162943,0.196184421637734,0.194140078572542,0.189445647205498,0.185161722761697,0.179775706538217,0.179887566098302,0.17691793639287,0.183118784902698,0.186826165280453,0.183692126693502,0.182136729138129,0.189345596804691,0.185185806159775,0.186738522205187,0.185250510357472,0.198662585134784,0.206092219310854,0.210979021243643,0.211116610936158,0.208638894909887,0.218598998440343,0.22365419521936,0.225293410910998,0.230782014762046,0.228594400362882,0.228685620122257,0.228596868588745,0.22254347140418,0.224032108736736,0.233779656906674,0.233399700775862,0.238833372611925,0.237710967069369,0.242237305360701,0.244593999725652,0.228725485112583,0.231487413694424,0.235474285858737,0.234101681472455,0.228047581141486,0.230393169377347,0.240318054065498,0.244545360031256,0.229131571460456,0.23466495146124,0.243458599384167,0.238592090158581,0.230568529977236,0.218087688752827,0.233006982057618,0.237589015622895,0.237355705652608,0.240971843088599,0.248893031375008,0.245598267068697,0.254992777455091,0.2519995765247,0.250572927423368,0.256753506498076,0.261279529022694,0.263465142096628,0.276051383663593,0.27372798490109,0.274798415139056,0.286658547657686,0.291184545420983,0.290132970342721,0.297616022489509,0.288941595531305,0.291461616507993,0.302606161667928,0.307382930829836,0.31214483995424,0.313043373459818,0.296477215416466,0.29739009244398,0.302614597757364,0.314400334475749,0.313317672634985,0.306784577251462,0.308592392779678,0.302674905722016,0.296699586729826,0.297678494733648,0.303005115155048,0.293285825402656,0.301400128633106,0.310023103151958,0.314842673661583,0.322784761959054,0.323438649178242,0.319396790507601,0.321298201056116,0.312081482341734,0.317630623380849,0.315093777991688,0.306938317115955,0.3
"",0.2,0.205251425796012,0.208048592348165,0.216225115398823,0.222964826342839,0.220260126207176,0.229608325725447,0.239713826283019,0.246270438922877,0.25572998908832,0.258818244139164,0.264041908438931,0.262318183530489,0.260206955257986,0.267217455526118,0.270370199593219,0.269535371607949,0.261466870586398,0.251133951791667,0.256647688382125,0.249496574241583,0.249419148035279,0.258005006802499,0.260775859688085,0.258094293370667,0.257978794363782,0.253991336002716,0.257319973718329,0.242759012290922,0.255539812646944,0.258105643605306,0.259478924944802,0.265657948645209,0.27046406548398,0.270904781375931,0.260061525821277,0.257565200014526,0.258885273376604,0.258056865264007,0.258245260523817,0.256283472916613,0.2487756185346,0.253075404642115,0.251761105139252,0.249983966112511,0.235440335302134,0.240176699733483,0.241461911126734,0.236805620903159,0.239972757848433,0.242838934279007,0.241399306144327,0.242954381064333,0.239070214691321,0.246822775339282,0.249627115305662,0.241179565334769,0.241811671957217,0.242379953217858,0.236277348085584,0.237782475051368,0.246509750451207,0.262906559457596,0.261285086652313,0.277653311443617,0.269244626391525,0.270281478733159,0.27992817904262,0.277834176470659,0.278117188151922,0.280539430607756,0.279409148708669,0.284381346098358,0.282554301090434,0.289021623072788,0.280509609138292,0.284223029396721,0.284592511977088,0.27254361989402,0.279138044387527,0.277232415412171,0.277092492828307,0.274964697593768,0.281482184649582,0.279784912131386,0.287017065250995,0.27714583818584,0.285396881159153,0.288464644923976,0.295073095815599,0.292959189560876,0.281083475125286,0.292042665529684,0.296000198412309,0.290636113630786,0.291079107117949,0.291775550362103,0.300114490630403,0.297208235498107,0.301289726880294,0.3
"",0.2,0.202945103567398,0.207638187464436,0.213598118622117,0.214177941648658,0.219302104208002,0.225819019147235,0.227266590486673,0.235612007384633,0.234219712194837,0.223834075676798,0.227654184920626,0.230184311488758,0.24461987675443,0.238780569035031,0.244636567263465,0.258849807990468,0.264281481705464,0.254402039778729,0.242997944566422,0.235782140231146,0.23821541620455,0.238779447991748,0.243388834077859,0.24098002443611,0.241493549877268,0.247695941915644,0.24540684953893,0.253513196837115,0.256007031586296,0.258826844831656,0.248965563383999,0.244684891132631,0.260623756115487,0.264232507720041,0.274453559900013,0.28309688210863,0.289200108799806,0.291448874877422,0.283166331611487,0.295254995796429,0.294092580726844,0.294302694677266,0.297007919229072,0.304192764715082,0.312670968146871,0.303307918848466,0.304194950267066,0.302594355263014,0.29566012037454,0.295970911963713,0.290585928676964,0.285505267911774,0.277289716334238,0.25991768116155,0.253685329886833,0.252972528412747,0.250676236380919,0.247025300491604,0.244342991956219,0.240519217256743,0.237684122728727,0.229546771413743,0.23584908230519,0.242254210939796,0.252876208131292,0.257388271907424,0.262796688587963,0.2556093298887,0.26410814715875,0.270913252515314,0.273948784419576,0.27695346342177,0.275672769605672,0.276157673419838,0.272804886529869,0.283325297956035,0.272704109048901,0.272284292177598,0.251423354513468,0.246098301047903,0.251915886879267,0.253512923145587,0.266429884338928,0.259820239865463,0.254619219170547,0.250203414836327,0.251848306158623,0.261116666993672,0.256826098723746,0.265270666460865,0.276718782323242,0.278998488626724,0.275637768556034,0.277349258917188,0.285202685484671,0.282160807328836,0.290980729747715,0.301048881433331,0.299332002684808,0.3
"",0.2,0.202659568215748,0.194331542495208,0.195341218126742,0.20092059732185,0.205315420684288,0.201581888582813,0.188016085133517,0.178924365622102,0.177201184268914,0.169273383138136,0.170161840763641,0.166382271159087,0.165249880928758,0.176187629705199,0.176325877466919,0.167823600418236,0.167004214976383,0.174519611484715,0.182800177946831,0.182190402514555,0.180408398731737,0.178165507968134,0.185696317218797,0.194233520738755,0.194890304418345,0.199571328271996,0.204101377527293,0.194567567566696,0.195635319032936,0.19758955594985,0.203834399654679,0.1904290023863,0.188943120527549,0.182895508380467,0.188347947466768,0.18360478736757,0.188512910208793,0.196179772780052,0.197551504259052,0.18970137417579,0.188867775714365,0.195899680880579,0.198945064436025,0.190389720484404,0.18628511265655,0.204670678578865,0.208962097585361,0.208850897010904,0.20968320407706,0.214779586758054,0.218165025592567,0.221150105310145,0.231350580777248,0.228523467047279,0.240677818585306,0.246911111634689,0.244270488483052,0.248038127723825,0.248658526636876,0.250179626285184,0.245616540834783,0.244817065225177,0.246840757964136,0.252074198847267,0.253747486397931,0.258236303898234,0.259444125950154,0.258517706623352,0.256442000601197,0.245759005834849,0.246795742105813,0.245427851472621,0.246861696825121,0.243979762259711,0.243709971145803,0.261466523821024,0.260940774656852,0.252422184860867,0.261734486026032,0.260432440968188,0.25795581375832,0.266203097933129,0.270459633788757,0.283788343008557,0.285180259588206,0.271146805719068,0.271279578627762,0.273889191555843,0.274534033903627,0.28737861290532,0.282318590801703,0.289184211605131,0.302741950036985,0.30479719939564,0.301642781302717,0.302954984279673,0.297018872414506,0.298231259941783,0.29482589258838,0.3
"",0.2,0.202603368862623,0.201387495388583,0.195248226963443,0.200818673743567,0.198875864183374,0.20179686521429,0.190287273365408,0.191524943976737,0.199326820665274,0.2022211262606,0.202863535577999,0.204160715651067,0.207416008114719,0.207766883414236,0.203561911422982,0.199927028922391,0.206035585939919,0.211609826682483,0.21593613340776,0.201146222545723,0.213201973991015,0.209811056668406,0.219560933987942,0.223992045396297,0.215805550910609,0.213619831960001,0.209404173919035,0.200818392862509,0.211932919089285,0.206365302735054,0.212738595468122,0.207910682200784,0.19889031145385,0.213648154712449,0.218024231029814,0.209126086892818,0.201713725678829,0.199429680662653,0.202796183840483,0.205938840344524,0.213116097471812,0.21286557505514,0.233971270500348,0.23116106083598,0.231550735824335,0.231956228655915,0.237145906134585,0.235293575370249,0.239211981019211,0.225061930671357,0.217970524682893,0.214216349419264,0.220947534597878,0.215174606282602,0.222738111947936,0.232931519742628,0.233045249480729,0.227691548114597,0.248473057753231,0.239569909400007,0.24890772969543,0.245350841284275,0.243843213856544,0.247354800797964,0.247962510283702,0.244244926241846,0.257683258457056,0.265240633197932,0.255985309317625,0.255459556744116,0.250336676838509,0.257847881082801,0.258614510716834,0.263667310154795,0.266758240172741,0.26877033821161,0.266154096064281,0.278284704028268,0.280870062495989,0.289454116742334,0.284752804397429,0.277998173593079,0.281802909135911,0.277655958951507,0.28307343306821,0.28316539386542,0.282829155364934,0.292405038347071,0.295386971382039,0.297811481546836,0.301551261573676,0.299754757841039,0.316439850883916,0.317032801311824,0.314821154025978,0.30939365814673,0.31528134700426,0.309477987569903,0.305712935621991,0.3
"",0.2,0.207880118491647,0.213455091830213,0.208489005213998,0.214045926360953,0.214735124637107,0.218573402317706,0.225855669743145,0.223373980816022,0.229400575904822,0.226278250780469,0.239648166893084,0.237552794430064,0.234778828013769,0.229946643670027,0.224891803773496,0.221000139912772,0.214115206081606,0.207586190914793,0.212357885038396,0.213342200770579,0.209594435710705,0.214551021652119,0.214472701304326,0.224274198532986,0.231232626045452,0.226981332028968,0.243089979133285,0.233410129117485,0.233669536507211,0.24947427302658,0.251893699035308,0.248871667885853,0.249373764017136,0.249878485112289,0.250722127451183,0.250542623435686,0.263071863923793,0.276974663810053,0.274394809949639,0.276273394988316,0.277711811707033,0.270219798758092,0.267426547809933,0.255107477656412,0.257792858138542,0.257767003166406,0.266543119371056,0.26874643547762,0.267989389851956,0.280555049624698,0.274280611237233,0.277384564429102,0.277697352253214,0.27792197986773,0.279264253857495,0.279725387571473,0.27780702049427,0.268514032775519,0.27232177912412,0.270872321377603,0.276564775343309,0.284226460348882,0.2829522958246,0.282495364673557,0.285230640543486,0.269611758571117,0.270955160725074,0.279311517437014,0.285207658751627,0.286571034612975,0.294359829872778,0.301837598926969,0.282697182101965,0.28862625822843,0.279870307165854,0.275475936853445,0.271841438926255,0.262295160015932,0.261814565245605,0.264580632700853,0.264243078590615,0.264329679117436,0.265405994004106,0.267761004843116,0.271553278894672,0.269257832428841,0.275073034411823,0.269975951541401,0.27574156402448,0.284914481717896,0.294330351188336,0.290752614938056,0.298352075855716,0.304403944898933,0.30844868320025,0.314139702771875,0.32292293626418,0.322970503738327,0.312438633676913,0.3
